strain,Gene_ID,Gene_Name,log2FC,FDR_adj_pvalue
CL2006,WBGene00012113,T28B8.1,0.454931274016178,0.039391241611882
CL2006,WBGene00000479,cgh-1,0.336598917895145,0.0735988031248411
